epoch,step,train/data_time,train/grad_norm,train/loss_epoch,train/loss_step,train/step_time,val/data_time,val/loss,val/step_time
0,0,13.501397132873535,188365.515625,,1.0500943660736084,1.2707935571670532,,,
0,1,13.54605484008789,297766.75,,1.0776231288909912,1.1320756673812866,,,
0,2,13.606203079223633,99731.6015625,,1.0015718936920166,1.0783779621124268,,,
0,3,13.620194435119629,174125.375,,0.9937719106674194,1.054182767868042,,,
0,4,13.633801460266113,164484.53125,,0.9601362347602844,1.039555549621582,,,
0,5,13.641190528869629,135188.96875,,0.8798827528953552,1.029239296913147,,,
0,6,13.648628234863281,142075.203125,,0.8209983706474304,1.0213451385498047,,,
0,7,13.65430736541748,172565.34375,,0.7266247272491455,1.014899492263794,,,
0,8,13.661693572998047,140555.453125,,0.6479867100715637,1.0096737146377563,,,
0,9,13.667198181152344,164526.9375,,0.6512304544448853,1.007948637008667,,,
0,10,13.673238754272461,167064.90625,,0.5590373277664185,1.0046017169952393,,,
0,11,13.677423477172852,170288.890625,,0.5662050247192383,1.0036989450454712,,,
0,12,13.681324005126953,135888.515625,,0.7249950170516968,1.0011807680130005,,,
0,13,13.679278373718262,119217.875,,0.37794047594070435,0.999652087688446,,,
0,14,13.67735481262207,141656.265625,,0.45977747440338135,0.9978564977645874,,,
0,15,13.681116104125977,100370.4375,,0.2826922833919525,0.9962340593338013,,,
0,16,13.68417739868164,98038.4609375,,0.38238024711608887,0.9947856664657593,,,
0,17,13.683149337768555,99609.4296875,,0.47823193669319153,0.9935750365257263,,,
0,18,13.682208061218262,111862.546875,,0.4808618724346161,0.9929430484771729,,,
0,19,13.678654670715332,89982.546875,,0.40289589762687683,0.9929457902908325,,,
0,20,13.678291320800781,101681.234375,,0.3552060127258301,0.9925152063369751,,,
0,21,13.676444053649902,75584.4140625,,0.31949225068092346,0.9921382069587708,,,
0,22,13.674365997314453,67334.1640625,,0.3661635220050812,0.9920814633369446,,,
0,23,13.676647186279297,111351.0625,,0.26206904649734497,0.9914311766624451,,,
0,24,13.673510551452637,80573.6015625,,0.27485713362693787,0.9912146329879761,,,
0,25,13.674428939819336,92262.5703125,,0.42060422897338867,0.990986704826355,,,
0,26,13.674514770507812,57591.28125,,0.2554158866405487,0.9910711646080017,,,
0,27,13.674734115600586,95708.9375,,0.22737863659858704,0.9906574487686157,,,
0,28,13.673487663269043,74064.7734375,,0.24595089256763458,0.9907057285308838,,,
0,29,13.674060821533203,103470.890625,,0.2418304681777954,0.9903799891471863,,,
0,30,13.675010681152344,82262.0,,0.22750411927700043,0.9905047416687012,,,
0,31,13.673418045043945,106183.921875,,0.18708543479442596,0.9906636476516724,,,
0,32,13.671823501586914,86301.2109375,,0.3032776713371277,0.9906737208366394,,,
0,33,13.67056941986084,71913.671875,,0.2163510024547577,0.9905454516410828,,,
0,34,13.67115306854248,165869.71875,,0.27094048261642456,0.9905619025230408,,,
0,35,13.67250919342041,135507.703125,,0.19120565056800842,0.9907935261726379,,,
0,36,13.672578811645508,88340.390625,,0.29587164521217346,0.9904823899269104,,,
0,37,13.673084259033203,128822.4453125,,0.22200343012809753,0.9908106327056885,,,
0,38,13.672245025634766,109338.09375,,0.2009381353855133,0.9910934567451477,,,
0,39,13.67066478729248,99580.34375,,0.2549508512020111,0.9912403225898743,,,
,0,,,,,,1200.645263671875,,0.585143506526947
,1,,,,,,805.03369140625,,0.485742449760437
,2,,,,,,607.3455810546875,,0.4276050627231598
,3,,,,,,488.6654357910156,,0.3884795308113098
,4,,,,,,409.5619201660156,,0.36134564876556396
,5,,,,,,353.0395202636719,,0.3402455747127533
,6,,,,,,310.66253662109375,,0.3244718611240387
,7,,,,,,277.6962585449219,,0.31277719140052795
,8,,,,,,251.32498168945312,,0.3023001551628113
,9,,,,,,229.7407989501953,,0.2937551438808441
,10,,,,,,211.74215698242188,,0.288159042596817
,11,,,,,,196.52769470214844,,0.28423836827278137
